tax_id	0	9606	9479	2099	33416	9526	376915	314146	1	7213	314145	2759	68410	33213	8355	9349	171969	4083	207598	8710	106734
9606	1711	69	2	2	2	14	10	4	68	5	1	14	3	2	12	4	4	6	5	3	1
